char_id,vn_id,role
302,751,primary
303,751,primary
304,751,side
305,211,main
306,646,side
306,647,appears
307,646,side
308,646,appears
309,646,appears
310,369,side
310,1967,appears
311,178,main
311,213,side
311,214,main
312,178,side
312,178,side
312,178,primary
313,213,primary
313,214,side
314,178,side
314,178,side
314,178,side
314,213,side
314,214,side
315,646,side
315,647,appears
316,646,side
316,647,appears
317,646,appears
318,646,appears
319,213,side
319,214,primary
320,178,side
320,178,side
320,178,primary
320,214,appears
321,178,side
321,178,side
321,178,side
321,213,side
321,214,side
322,178,side
322,178,side
322,178,primary
323,178,side
323,178,side
323,178,side
323,213,side
323,214,side
324,178,side
324,178,side
324,178,side
324,178,side
324,178,side
324,214,side
325,211,primary
326,369,side
326,1967,primary
327,211,primary
328,369,primary
328,1967,primary
329,369,primary
329,1967,primary
330,646,side
330,647,appears
331,646,side
331,647,appears
332,646,side
332,647,appears
333,103,main
334,103,main
335,103,side
336,646,appears
337,903,main
337,2093,main
338,903,primary
338,2093,side
339,903,primary
339,2093,side
340,903,primary
340,2093,side
341,903,primary
341,2093,side
342,903,primary
342,2093,side
343,414,main
343,2123,side
344,414,primary
344,2123,appears
345,414,primary
345,2123,side
346,414,primary
346,2123,side
347,2123,primary
348,2123,main
349,414,primary
349,2123,main
350,414,primary
350,2123,appears
351,414,appears
351,2123,primary
352,710,main
353,710,primary
354,710,primary
355,710,primary
356,710,primary
357,710,primary
358,710,side
359,710,side
360,710,side
361,710,side
362,646,primary
363,646,primary
364,646,appears
364,647,appears
365,646,primary
365,646,primary
365,646,primary
365,646,primary
366,24,primary
367,24,primary
368,299,main
369,299,primary
369,1111,appears
370,299,primary
371,299,primary
371,1111,appears
372,299,primary
372,1111,appears
373,299,primary
374,299,primary
375,299,primary
375,1111,appears
376,369,primary
376,1967,primary
377,1499,primary
378,1499,primary
379,1499,primary
380,1499,primary
381,1499,primary
382,1499,primary
383,299,side
384,299,side
385,299,side
386,299,side
387,647,side
388,299,side
389,646,appears
390,646,main
390,647,appears
391,299,side
392,1068,side
392,1103,appears
393,1068,side
393,1103,appears
394,299,side
395,299,side
396,299,side
398,211,primary
399,211,primary
400,211,primary
401,299,side
402,299,side
403,647,primary
404,647,primary
405,647,primary
406,647,primary
407,299,primary
408,299,side
409,211,side
410,211,side
411,3,main
412,3,primary
413,3,primary
414,3,primary
415,3,primary
416,3,side
417,3,main
418,1314,side
419,571,primary
420,571,primary
422,571,primary
423,571,primary
424,571,primary
431,1491,primary
432,299,side
433,299,side
434,299,side
435,211,side
436,299,side
437,299,side
438,1491,main
439,431,main
440,34,main
441,34,primary
443,431,primary
444,299,side
445,431,appears
446,431,side
447,1491,primary
448,431,primary
448,2016,appears
449,106,main
450,106,primary
451,106,primary
452,106,primary
453,106,primary
454,106,primary
455,106,primary
456,106,primary
457,106,primary
460,106,primary
465,23,primary
466,431,primary
466,2016,appears
467,1491,side
468,23,main
469,23,primary
470,23,primary
471,35,main
471,592,main
472,35,primary
472,592,primary
473,35,side
473,592,side
476,4,main
478,4,primary
488,4,primary
493,23,primary
